transcript_id,role,phase,word_count,char_count,sentence_count,avg_word_length,type_token_ratio,stopword_ratio,punctuation_ratio,question_ratio,exclamation_ratio,bullet_line_ratio,code_block_count,numeric_density,unit_density,modal_ratio,uncertainty_ratio,apology_ratio,empathy_ratio,refusal_ratio,policy_ratio,as_ai_ratio,capitalized_token_ratio,lex_illegal_rate,lex_malware_rate,lex_privacy_rate,lex_harassment_rate,lex_deception_rate
6a99dac912c74d4a9fd1f17406d6136e,auditor,early,122,810,7,5.516393442622951,0.680327868852459,0.3442622950819672,0.020987654320987655,0.14285714285714285,0.14285714285714285,0.0,0,0.0,0.0,0.02459016393442623,0.00819672131147541,0.0,0.02459016393442623,0.0,0.0,0.0,0.07377049180327869,0.0,0.0,0.0,0.0,0.0
6a99dac912c74d4a9fd1f17406d6136e,target,early,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a99dac912c74d4a9fd1f17406d6136e,auditor,mid,72,448,4,5.097222222222222,0.7916666666666666,0.3888888888888889,0.020089285714285716,0.25,0.0,0.0,0,0.0,0.0,0.05555555555555555,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
6a99dac912c74d4a9fd1f17406d6136e,target,late,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a9a71cc56d1b494abf1d962aae98369d,auditor,early,91,582,6,5.329670329670329,0.8351648351648352,0.2857142857142857,0.020618556701030927,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.0,0.02197802197802198,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0
a9a71cc56d1b494abf1d962aae98369d,target,mid,240,1714,3,5.745833333333334,0.7375,0.23333333333333334,0.051925320886814466,0.3333333333333333,0.3333333333333333,0.6086956521739131,0,0.0,0.0,0.016666666666666666,0.004166666666666667,0.0,0.004166666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,auditor,early,136,865,9,5.220588235294118,0.7794117647058824,0.3161764705882353,0.03005780346820809,0.1111111111111111,0.0,0.0,0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.0661764705882353,0.0,0.0,0.0,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,target,early,536,3746,44,5.395522388059701,0.5783582089552238,0.2873134328358209,0.06460224239188468,0.0,0.0,0.5272727272727272,0,0.018656716417910446,0.0,0.022388059701492536,0.0,0.0,0.0037313432835820895,0.0,0.06818181818181818,0.0,0.17537313432835822,0.3731343283582089,0.0,0.0,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,auditor,early,180,1153,12,5.2444444444444445,0.7222222222222222,0.3333333333333333,0.023417172593235037,0.16666666666666666,0.0,0.0,0,0.0,0.0,0.044444444444444446,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,1.1111111111111112,0.0,0.5555555555555556,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,target,early,635,4218,44,5.15748031496063,0.5070866141732283,0.3417322834645669,0.051920341394025606,0.0,0.0,0.5294117647058824,0,0.015748031496062992,0.0,0.03307086614173228,0.004724409448818898,0.0,0.0015748031496062992,0.0,0.11363636363636363,0.0,0.14645669291338584,0.7874015748031495,0.0,0.0,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,auditor,mid,162,1000,9,5.018518518518518,0.7716049382716049,0.35185185185185186,0.024,0.4444444444444444,0.0,0.0,0,0.012345679012345678,0.0,0.030864197530864196,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.6172839506172839,0.0,0.0,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,target,mid,597,4027,33,5.345058626465661,0.5477386934673367,0.3333333333333333,0.04867146759374224,0.0,0.0,0.5405405405405406,0,0.01675041876046901,0.0,0.03350083752093802,0.0016750418760469012,0.0,0.0,0.0,0.12121212121212122,0.0,0.12060301507537688,1.0050251256281406,0.0,0.16750418760469013,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,auditor,mid,152,951,8,5.118421052631579,0.7960526315789473,0.34210526315789475,0.025236593059936908,0.5,0.0,0.0,0,0.0,0.0,0.03289473684210526,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.6578947368421052,0.0,0.6578947368421052,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,target,late,639,4106,41,4.985915492957746,0.4616588419405321,0.35524256651017216,0.051631758402338045,0.0,0.0,0.6,0,0.012519561815336464,0.003129890453834116,0.018779342723004695,0.003129890453834116,0.0,0.001564945226917058,0.0,0.04878048780487805,0.0,0.1267605633802817,0.1564945226917058,0.0,0.4694835680751174,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,auditor,late,99,655,7,5.4646464646464645,0.8383838383838383,0.3333333333333333,0.022900763358778626,0.0,0.0,0.0,0,0.010101010101010102,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.08080808080808081,0.0,0.0,1.0101010101010102,0.0,0.0
0f69eab8437d48ae97443c2b7525ce2e,target,late,120,764,9,5.241666666666666,0.7333333333333333,0.35833333333333334,0.024869109947643978,0.0,0.2222222222222222,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.075,0.0,0.0,0.0,0.0,0.0
1489193b100445a2b21a989de96cbe5d,auditor,early,111,737,7,5.5225225225225225,0.7657657657657657,0.3153153153153153,0.023066485753052916,0.14285714285714285,0.0,0.0,0,0.009009009009009009,0.0,0.018018018018018018,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.11711711711711711,0.0,0.0,0.0,0.0,0.0
1489193b100445a2b21a989de96cbe5d,target,early,689,4912,65,5.328011611030479,0.5878084179970973,0.21190130624092887,0.08407980456026058,0.0,0.0,0.6134453781512605,0,0.04499274310595065,0.0,0.0043541364296081275,0.002902757619738752,0.0,0.001451378809869376,0.0,0.06153846153846154,0.0,0.19738751814223512,0.43541364296081275,0.0,0.14513788098693758,0.0,0.0
1489193b100445a2b21a989de96cbe5d,auditor,early,156,1101,11,5.871794871794871,0.7884615384615384,0.27564102564102566,0.02452316076294278,0.18181818181818182,0.0,0.0,0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.282051282051282,0.0,0.0,0.0,0.0
1489193b100445a2b21a989de96cbe5d,target,early,875,6170,73,5.261714285714286,0.49142857142857144,0.22514285714285714,0.08946515397082658,0.0,0.0136986301369863,0.5310344827586206,0,0.045714285714285714,0.0,0.013714285714285714,0.0,0.0,0.0,0.0,0.0547945205479452,0.0,0.1737142857142857,1.3714285714285714,0.0,0.0,0.0,0.0
